T Wed Jan 22 08:45:03 CET 2014
5414 -0.34857702 -0.7304325 2.95747 -1.3944018 2.4351041 9.396611
5438 0.43997008 -1.0398026 0.94694805 -1.3593435 2.45717 9.396004
5457 1.3303635 -0.4646678 -2.2244506 -1.2729027 2.533258 9.387902
5477 1.1567749 0.23265505 -2.8479218 -1.1950821 2.6020799 9.379304
5495 -0.3086239 0.39472032 0.55990124 -1.2428188 2.5740898 9.380824
5515 -0.9827093 0.109232426 4.614669 -1.3540317 2.495659 9.386622
5535 -0.20355594 -1.0696198 3.347869 -1.386194 2.4678335 9.389284
5555 1.0788401 -1.1748616 -1.3301678 -1.3278371 2.5539217 9.374685
5575 0.83685386 0.036406994 -4.5727015 -1.2007725 2.6642525 9.361105
5649 -0.046237588 0.98604536 -1.3441429 -1.2179009 2.557373 9.38866
5649 -0.65072036 -0.7993084 4.847391 -1.3987162 2.408212 9.402898
5649 0.34408605 -1.7448967 -0.55973816 -1.4741492 2.4152732 9.389554
5668 0.60301465 -0.45890236 -4.7953734 -1.3883128 2.5274925 9.373087
5687 0.0899452 1.0305855 -3.5980463 -1.2774693 2.5511403 9.382438
5707 -1.1495787 0.7607572 1.2069607 -1.3020838 2.4570498 9.404141
5727 -1.0958254 -1.0123023 2.7843037 -1.4324515 2.3339016 9.416548
5747 0.41385508 -1.9332923 -1.1878262 -1.5056111 2.3355181 9.404726
5766 1.1270838 -1.0292423 -4.9734426 -1.4910024 2.4466097 9.378774
5786 -0.13448703 0.7304275 -3.671752 -1.4169557 2.4873796 9.379529
5807 -1.2530164 1.4709461 4.624341 -1.4284896 2.4172375 9.396104
5828 -0.42660654 -0.5660405 7.288004 -1.4887549 2.3090193 9.413948
5847 1.2360398 -1.6374898 0.781373 -1.4658831 2.3461735 9.408349
5866 1.5996251 -1.1228462 -5.2893124 -1.3314745 2.5019064 9.3881855
5886 0.12228906 0.46410656 -5.490595 -1.1757379 2.5430107 9.397932
5913 -0.27302837 0.8759208 1.2027998 -1.2017999 2.4185007 9.427456
5930 -1.0556101 -1.1055762 5.4673414 -1.4726669 2.2356393 9.43417
5948 -0.018042326 -1.3549707 0.29932308 -1.6674757 2.2743442 9.3924055
5969 0.10040283 -0.08738685 -4.5091352 -1.6135383 2.3858204 9.374153
5998 -1.6662676 1.6414676 -1.5703382 -1.4366179 2.3807912 9.404166
6023 -0.14151466 0.22344804 3.8888855 -1.3716208 2.2665217 9.44203
6030 0.87210125 -1.4423372 0.744236 -1.4467096 2.2850962 9.426332
6050 0.11904943 -0.050261497 -2.8341746 -1.4598024 2.3678486 9.403864
6070 -0.2557826 0.7614863 -0.77777576 -1.3914281 2.3605528 9.416056
6091 0.21063387 -0.00386405 3.5801182 -1.3598506 2.2639904 9.444339
6110 0.17867911 -1.0039315 1.9284725 -1.3853568 2.2297628 9.448774
6129 0.45265883 -0.91646993 -2.4055834 -1.3720323 2.29553 9.434959
6150 0.75844663 0.19649768 -4.3347282 -1.3139014 2.3509328 9.429589
6171 0.27411485 0.48239756 -1.512516 -1.2892563 2.31403 9.442112
6190 -0.049580693 -0.036357403 3.6046257 -1.3677868 2.2007158 9.458138
6217 0.15045643 -0.8152324 3.4700165 -1.4337485 2.1559854 9.458673
6233 0.81817836 -0.6618215 -0.78787994 -1.3736331 2.2515714 9.445313
6253 0.60612696 0.27877092 -3.4575958 -1.295657 2.3452742 9.433523
6273 -0.03664303 0.30875707 -1.4889221 -1.2849563 2.3344417 9.437672
6294 -0.67242 -0.34619272 2.2558556 -1.3770165 2.2424004 9.447002
6313 -0.9614928 -0.95936537 2.0695353 -1.4710162 2.2043502 9.441787
6332 -0.46955407 -0.057394743 0.029379845 -1.4458073 2.2600603 9.432506
6352 -0.08839297 0.59129477 -1.0039549 -1.3864353 2.300901 9.431545
6372 0.0904665 0.536551 -0.110897064 -1.3737586 2.27903 9.438707
6391 0.12312579 -0.6613375 0.39980793 -1.4064178 2.2319338 9.445149
6412 0.22096288 -0.5159998 -0.24923897 -1.408487 2.239825 9.442973
6431 -0.09827137 -0.15706205 -0.8774481 -1.3957105 2.2639596 9.439114
6451 0.27606857 0.09573364 -0.82218456 -1.3869781 2.260161 9.441311
6473 0.5312383 -0.08650589 -0.11481285 -1.3931509 2.2508643 9.442623
6556 0.10478413 0.19287181 -0.31691837 -1.4072299 2.2779443 9.434038
6557 -0.11561251 0.43871474 0.7578602 -1.4166765 2.2810984 9.431862
6557 0.13852942 0.13066578 2.3558683 -1.4026679 2.2443824 9.442758
6557 0.94704056 -0.61078286 0.11495972 -1.3492664 2.2771473 9.442694
6571 0.5788537 -0.35180664 -3.7437477 -1.306691 2.3437824 9.432371
6591 -0.41547906 0.89537525 -2.4251022 -1.2891926 2.3415854 9.435325
6611 -1.7204583 0.31338263 2.6332302 -1.3824272 2.2148943 9.4527
6630 -0.82484925 -0.75247896 2.7797747 -1.4927379 2.1123855 9.459384
6650 0.3344612 -1.09985 -2.0744138 -1.5028317 2.1532989 9.448555
6670 0.8312911 -0.3240472 -4.9823165 -1.4250531 2.220255 9.445108
6689 0.008576274 1.1571314 -3.0631185 -1.3301756 2.2139046 9.460425
6712 -0.52224016 0.74272656 2.9722128 -1.3739675 2.111162 9.477636
6732 0.2779169 -0.87191784 4.1538143 -1.465441 2.0211346 9.483559
6751 0.7983101 -1.1685596 -0.6579113 -1.4686866 2.087933 9.468574
6771 1.0012362 0.08529067 -3.6007147 -1.3843085 2.1748357 9.46172
6791 0.5903765 0.57724476 -2.1940398 -1.2990602 2.1808755 9.472413
6811 -0.12413001 -0.12290168 2.215745 -1.3315446 2.0957239 9.487113
6831 -0.9627451 -0.9379269 2.470336 -1.4123031 2.06799 9.481519
